months,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,193,2038,10627,392,397,392,1037,91,277,265,240,165,1627,1724,195,298,363,1600,667
2,165,176,1774,342,509,674,639,219,326,108,328,292,328,379,378,513,943,802,1303
3,452,420,1131,1435,1536,689,346,561,619,838,2524,644,1007,904,2176,1667,1971,1132,647
4,505,465,1074,2834,2519,3524,1054,1029,857,1193,4433,2215,2251,2035,2087,4067,3961,3004,1419
5,291,514,1272,4367,2304,3656,981,1172,1402,1224,2801,1834,1996,1235,1335,2648,2972,2526,1595
6,61,266,597,1623,1024,2327,147,250,203,229,1023,308,175,333,443,225,1206,922,1124
7,103,1672,620,936,556,622,661,346,485,131,643,357,381,931,138,366,1022,1618,1285
8,444,1384,1021,973,1319,1584,1464,768,1830,470,759,1213,1474,1061,727,526,2173,2338,2061
9,406,1904,4005,873,811,914,1343,729,1437,415,1196,1636,1483,796,964,275,2070,1004,4251
10,812,6047,460,729,979,581,891,467,741,149,337,1742,2632,818,625,883,312,446,3358
11,258,3511,330,409,162,2968,163,137,859,62,187,416,1403,593,307,743,291,366,25365
12,2432,2985,209,292,500,1365,78,246,2118,107,35,554,458,248,315,350,305,366,37529
