index,latitude,longitude,datetime
402115,-30.7915,151.0415,2019-01-03 14:53:00
402116,-30.5446,151.2105,2019-01-03 14:53:00
402138,-30.5433,151.2253,2019-01-04 15:36:00
402139,-30.5414,151.2056,2019-01-04 15:36:00
402175,-30.8078,151.0586,2019-01-05 13:06:00
402176,-30.8108,151.0425,2019-01-05 13:06:00
402177,-30.8086,151.0528,2019-01-05 13:06:00
402178,-30.8114,151.0374,2019-01-05 13:06:00
402179,-30.7945,151.0666,2019-01-05 13:06:00
402180,-30.7976,151.05,2019-01-05 13:06:00
402181,-30.8004,151.0345,2019-01-05 13:06:00
402182,-30.7866,151.0472,2019-01-05 13:06:00
402185,-30.7896,151.0308,2019-01-05 13:06:00
402192,-30.7838,151.0361,2019-01-06 00:06:00
402193,-30.7853,151.0465,2019-01-06 00:06:00
402194,-30.7868,151.0569,2019-01-06 00:06:00
402195,-30.7884,151.0673,2019-01-06 00:06:00
402196,-30.7928,151.0343,2019-01-06 00:06:00
402197,-30.7943,151.0447,2019-01-06 00:06:00
402198,-30.7958,151.0552,2019-01-06 00:06:00
402199,-30.7974,151.0656,2019-01-06 00:06:00
402200,-30.8033,151.043,2019-01-06 00:06:00
402201,-30.8048,151.0534,2019-01-06 00:06:00
402202,-30.8064,151.0638,2019-01-06 00:06:00
402203,-30.8018,151.0326,2019-01-06 00:06:00
402215,-30.5363,151.2168,2019-01-06 12:11:00
402216,-30.5415,151.2244,2019-01-06 12:11:00
402217,-30.8067,151.0465,2019-01-06 12:11:00
402218,-30.7948,151.0168,2019-01-06 12:11:00
402221,-30.7939,151.0257,2019-01-06 15:24:00
402222,-30.7932,151.0314,2019-01-06 15:24:00
402223,-30.7734,151.0343,2019-01-06 15:24:00
402224,-30.7751,151.0474,2019-01-06 15:24:00
402225,-30.7954,151.0384,2019-01-06 15:24:00
402226,-30.8053,151.0371,2019-01-06 15:24:00
402227,-30.8068,151.0493,2019-01-06 15:24:00
402230,-30.7856,151.0523,2019-01-07 00:49:00
402231,-30.8022,151.0517,2019-01-07 00:49:00
402232,-30.7913,151.0452,2019-01-07 00:49:00
402233,-30.8079,151.0451,2019-01-07 00:49:00
402241,-30.9758,151.7732,2019-01-07 12:54:00
402242,-30.8072,151.0465,2019-01-07 12:54:00
402243,-30.8089,151.0355,2019-01-07 12:54:00
402244,-30.9778,151.7612,2019-01-07 12:54:00
402246,-30.7827,151.0177,2019-01-07 12:54:00
402247,-30.8107,151.0245,2019-01-07 12:54:00
402258,-30.7794,151.01,2019-01-07 23:54:00
402260,-30.776,151.0492,2019-01-07 23:54:00
402261,-30.7781,151.0618,2019-01-07 23:54:00
402273,-30.8166,151.0415,2019-01-08 04:12:00
402274,-30.8184,151.037,2019-01-08 04:12:00
402275,-30.7772,151.0091,2019-01-08 04:12:00
402276,-30.7882,151.0122,2019-01-08 04:12:00
402278,-30.7967,151.0221,2019-01-08 15:12:00
402279,-30.8072,151.0308,2019-01-08 15:12:00
402280,-30.7772,151.0152,2019-01-08 15:12:00
402281,-30.8087,151.0412,2019-01-08 15:12:00
402282,-30.8102,151.0516,2019-01-08 15:12:00
402283,-30.8177,151.0395,2019-01-08 15:12:00
402284,-30.8192,151.0499,2019-01-08 15:12:00
402305,-30.9,151.9654,2019-01-10 04:00:00
402306,-30.8879,151.9768,2019-01-10 04:00:00
402324,-30.8978,151.9893,2019-01-11 00:25:00
402325,-30.8957,151.97,2019-01-11 00:25:00
402326,-30.1764,151.4053,2019-01-11 00:25:00
402327,-30.1781,151.4208,2019-01-11 00:25:00
402350,-30.818,151.0144,2019-01-13 04:30:00
402351,-30.8141,151.028,2019-01-13 12:17:00
402352,-30.8159,151.0098,2019-01-13 12:17:00
402353,-30.8138,151.0341,2019-01-13 12:17:00
402355,-30.8068,151.0293,2019-01-13 15:30:00
402361,-30.8963,151.9642,2019-01-14 03:35:00
402434,-30.8166,151.0037,2019-01-17 04:06:00
402439,-30.8067,151.0079,2019-01-17 04:06:00
402486,-30.7867,151.0083,2019-01-18 12:36:00
402487,-30.7962,151.0099,2019-01-18 12:36:00
402490,-30.8006,151.0041,2019-01-18 12:36:00
402491,-30.7992,151.016,2019-01-18 12:36:00
402682,-30.8285,151.6595,2019-01-24 04:12:00
403033,-30.3833,151.42700000000002,2019-01-30 03:35:00
403508,-30.9749,151.7631,2019-02-10 12:42:00
403509,-30.9734,151.7736,2019-02-10 12:42:00
403510,-30.9839,151.7648,2019-02-10 12:42:00
403511,-30.9824,151.7753,2019-02-10 12:42:00
404391,-30.0074,151.2057,2019-02-17 03:23:00
404631,-30.9786,151.7681,2019-02-19 12:36:00
404632,-30.9879,151.7698,2019-02-19 12:36:00
404666,-30.8416,151.6689,2019-02-19 23:36:00
404667,-30.840999999999998,151.6748,2019-02-19 23:36:00
405009,-30.156999999999996,151.4496,2019-03-02 00:12:00
405962,-30.5422,151.4381,2019-03-06 04:06:00
405963,-30.5447,151.4241,2019-03-06 04:06:00
405964,-30.5343,151.4218,2019-03-06 04:06:00
406230,-30.6637,151.5058,2019-03-11 00:06:00
407413,-30.2262,151.5784,2019-04-03 00:12:00
407532,-30.5451,151.1715,2019-04-05 00:00:00
407916,-30.5441,151.1637,2019-04-10 00:19:00
408172,-30.5414,151.1598,2019-04-12 00:06:00
408789,-30.1058,151.5143,2019-04-17 00:25:00
409105,-30.8825,151.655,2019-04-20 03:35:00
409266,-30.2157,151.6529,2019-04-24 00:31:00
409267,-30.2243,151.6365,2019-04-24 00:31:00
409572,-30.2111,151.4404,2019-04-28 00:06:00
409744,-30.2959,151.6127,2019-04-29 03:29:00
409930,-30.2984,151.6295,2019-04-29 23:54:00
409931,-30.2964,151.6178,2019-04-29 23:54:00
410094,-30.1532,151.5004,2019-05-02 04:00:00
410206,-30.7095,151.0722,2019-05-06 03:35:00
410207,-30.7111,151.0587,2019-05-06 03:35:00
410331,-30.057,151.5293,2019-05-07 00:00:00
410340,-30.9042,151.8235,2019-05-07 00:00:00
410519,-30.5937,151.1042,2019-05-07 04:18:00
410520,-30.5947,151.1115,2019-05-07 04:18:00
410521,-30.5896,151.125,2019-05-07 04:18:00
410697,-30.7073,151.0724,2019-05-09 04:06:00
410698,-30.7097,151.0586,2019-05-09 04:06:00
410700,-30.5613,151.1541,2019-05-09 04:06:00
410702,-30.5865,151.1081,2019-05-09 04:06:00
410713,-30.6418,151.1235,2019-05-09 15:06:00
410832,-30.9797,151.952,2019-05-13 03:41:00
410885,-30.9642,151.8534,2019-05-14 00:07:00
411014,-30.0842,151.4826,2019-05-14 04:24:00
411080,-30.4069,151.4166,2019-05-15 03:29:00
411757,-30.4247,151.5035,2019-05-21 00:12:00
411758,-30.2347,151.5249,2019-05-21 00:12:00
411789,-30.7041,151.1346,2019-05-21 00:13:00
411790,-30.7056,151.1456,2019-05-21 00:13:00
411837,-30.0911,151.85,2019-05-21 12:18:00
411937,-30.6114,151.0558,2019-05-23 00:00:00
411946,-30.8505,151.4041,2019-05-23 00:00:00
412295,-30.0856,151.4902,2019-05-26 23:36:00
412296,-30.0837,151.4841,2019-05-26 23:36:00
412297,-30.079,151.4617,2019-05-26 23:36:00
412298,-30.0811,151.4678,2019-05-26 23:36:00
412299,-30.1094,151.8709,2019-05-26 23:36:00
412358,-30.0867,151.4732,2019-05-27 03:54:00
412361,-30.0851,151.4839,2019-05-27 03:54:00
412423,-30.9397,151.5225,2019-05-28 00:19:00
412442,-30.7005,151.0579,2019-05-28 00:19:00
412443,-30.7021,151.0707,2019-05-28 00:19:00
412485,-30.0912,151.4983,2019-05-28 23:24:00
412486,-30.0828,151.4626,2019-05-28 23:24:00
412487,-30.0748,151.4724,2019-05-28 23:24:00
412520,-30.9211,151.6756,2019-05-29 03:41:00
412551,-30.0845,151.4733,2019-05-29 03:42:00
412553,-30.083000000000002,151.4843,2019-05-29 03:42:00
412606,-30.932,151.4089,2019-05-30 00:06:00
412609,-30.076999999999998,151.4761,2019-05-30 00:06:00
412610,-30.0785,151.4864,2019-05-30 00:06:00
412611,-30.086,151.4744,2019-05-30 00:06:00
412617,-30.9227,151.6697,2019-05-30 00:06:00
412757,-30.0744,151.4904,2019-05-31 00:49:00
412758,-30.0876,151.4965,2019-05-31 00:49:00
412797,-30.0807,151.4696,2019-05-31 03:29:00
412809,-30.8372,151.0776,2019-05-31 12:54:00
412810,-30.1037,151.8477,2019-05-31 12:54:00
412909,-30.098000000000003,151.8468,2019-06-02 12:42:00
413018,-30.0824,151.4828,2019-06-06 00:12:00
413019,-30.0809,151.4718,2019-06-06 00:12:00
413060,-30.0893,151.484,2019-06-06 04:30:00
413061,-30.0809,151.4735,2019-06-06 04:30:00
413144,-30.8383,151.0719,2019-06-07 03:35:00
413151,-30.7616,151.3757,2019-06-07 03:35:00
413152,-30.76,151.3888,2019-06-07 03:35:00
413206,-30.8313,151.0992,2019-06-09 12:48:00
413207,-30.8329,151.0887,2019-06-09 12:48:00
413371,-30.0347,151.3385,2019-06-12 03:54:00
413379,-30.247,151.3396,2019-06-12 03:54:00
413382,-30.6986,151.1456,2019-06-12 03:54:00
413398,-30.1179,151.8697,2019-06-12 03:54:00
413425,-30.7817,151.0805,2019-06-13 00:19:00
413528,-30.6917,151.1359,2019-06-16 23:54:00
413529,-30.54,151.5071,2019-06-16 23:54:00
413591,-30.1085,151.8694,2019-06-17 04:12:00
413613,-30.0658,151.4948,2019-06-18 00:37:00
413614,-30.0795,151.4932,2019-06-18 00:37:00
413615,-30.0637,151.4696,2019-06-18 00:37:00
413616,-30.0773,151.4681,2019-06-18 00:37:00
413692,-30.7648,151.3733,2019-06-19 04:00:00
413726,-30.6914,151.1331,2019-06-19 04:00:00
413727,-30.7121,151.0656,2019-06-19 04:00:00
413728,-30.714000000000002,151.054,2019-06-19 04:00:00
413729,-30.7027,151.0636,2019-06-19 04:00:00
413730,-30.7046,151.05200000000002,2019-06-19 04:00:00
413747,-30.0736,151.4841,2019-06-20 00:24:00
413749,-30.0719,151.4685,2019-06-20 00:24:00
